"fold","test_rows","accuracy","sensitivity","specificity","precision","f1","true_positive","true_negative","false_positive","false_negative"
1,145,0.917241379310345,0.916666666666667,0.917808219178082,0.916666666666667,0.916666666666667,66,67,6,6
2,145,0.937931034482759,0.944444444444444,0.931506849315068,0.931506849315068,0.937931034482759,68,68,5,4
3,144,0.923611111111111,0.944444444444444,0.902777777777778,0.906666666666667,0.925170068027211,68,65,7,4
4,143,0.93006993006993,0.957746478873239,0.902777777777778,0.906666666666667,0.931506849315069,68,65,7,3
5,143,0.951048951048951,0.929577464788732,0.972222222222222,0.970588235294118,0.949640287769784,66,70,2,5
