"metric","mean","sd"
"accuracy",0.931980481204619,0.0131334811890293
"sensitivity",0.938575899843505,0.0157906385529034
"specificity",0.925418569254186,0.0287696775741811
"precision",0.926419016921837,0.0267031126780438
"f1",0.932182981252298,0.0125318772676432
