"fold","test_rows","accuracy","sensitivity","specificity","precision","f1","true_positive","true_negative","false_positive","false_negative"
1,145,0.937931034482759,0.944444444444444,0.931506849315068,0.931506849315068,0.937931034482759,68,68,5,4
2,145,0.910344827586207,0.888888888888889,0.931506849315068,0.927536231884058,0.907801418439716,64,68,5,8
3,144,0.888888888888889,0.944444444444444,0.833333333333333,0.85,0.894736842105263,68,60,12,4
4,143,0.923076923076923,0.971830985915493,0.875,0.884615384615385,0.926174496644295,69,63,9,2
5,143,0.944055944055944,0.943661971830986,0.944444444444444,0.943661971830986,0.943661971830986,67,68,4,4
