"metric","mean","sd"
"accuracy",0.920859523618144,0.022176043280549
"sensitivity",0.938654147104851,0.0302878562868776
"specificity",0.903158295281583,0.0473820695213819
"precision",0.907464087529099,0.03910056515457
"f1",0.922061152700604,0.0205263617330491
