"win","is_home","runs_scored","runs_allowed","run_diff","early_runs","middle_runs","late_runs","scored_first","led_after_3","led_after_6","AB","H","BB","SO","double","triple","HR","extra_base_hits","power_score","run_per_hit","offense_pressure_score","innings_pitched","hits_allowed","bb_allowed","hr_allowed","so_pitched","whip_like","strikeout_walk_ratio","run_prevention_score"
"loss","away",8,11,-3,8,0,0,"yes","yes","yes",34,11,6,8,2,0,1,3,5,0.727272727272727,13,8,12,2,1,9,1.75,4.5,-5
"win","home",11,8,3,3,4,4,"no","no","no",36,12,2,9,3,1,1,5,8,0.916666666666667,13.5,9,11,6,1,8,1.88888888888889,1.33333333333333,-7
"win","away",3,0,3,0,3,0,"yes","no","yes",31,6,4,10,1,0,1,2,4,0.5,4,9,2,2,0,8,0.444444444444444,4,6
"loss","home",0,3,-3,0,0,0,"no","no","no",29,2,2,8,0,0,0,0,0,0,-2,9,6,4,1,10,1.11111111111111,2.5,2
"win","away",12,0,12,7,4,1,"yes","yes","yes",45,15,3,5,3,1,1,5,8,0.8,17.5,9,6,2,0,6,0.888888888888889,3,4
"loss","home",0,12,-12,0,0,0,"no","no","no",32,6,2,6,0,0,0,0,0,0,-1,9,15,3,1,5,2,1.66666666666667,-11
"win","away",11,4,7,1,4,6,"yes","no","yes",39,14,9,9,3,1,2,6,11,0.785714285714286,21.5,9,8,1,1,9,1,9,3
"loss","home",4,11,-7,1,3,0,"no","no","no",32,8,1,9,1,0,1,2,4,0.5,2.5,9,14,9,2,9,2.55555555555556,1,-13
"loss","away",1,4,-3,1,0,0,"yes","yes","no",33,9,1,9,0,0,0,0,0,0.111111111111111,-2.5,8,9,5,0,5,1.75,1,-4
"win","home",4,1,3,0,1,3,"no","no","no",30,9,5,5,1,0,0,1,1,0.444444444444444,7.5,9,9,1,0,9,1.11111111111111,9,7
"loss","away",6,7,-1,0,0,6,"no","no","no",33,11,3,6,2,0,0,2,2,0.545454545454545,8,8,9,2,3,5,1.375,2.5,-7
"win","home",7,6,1,0,2,5,"yes","no","yes",30,9,2,5,0,0,3,3,9,0.777777777777778,9.5,9,11,3,0,6,1.55555555555556,2,-3
"win","away",2,1,1,2,0,0,"yes","yes","yes",36,9,3,6,2,0,0,2,2,0.222222222222222,4,9,5,1,0,5,0.666666666666667,5,3
"loss","home",1,2,-1,0,1,0,"no","no","no",30,5,1,5,2,0,0,2,2,0.2,1.5,9,9,3,0,6,1.33333333333333,2,1
"loss","away",1,2,-1,0,0,1,"no","no","no",30,3,4,13,1,0,0,1,1,0.333333333333333,-0.5,8,5,6,0,6,1.375,1,-2
"win","home",2,1,1,0,1,1,"yes","no","yes",27,5,6,6,2,0,0,2,2,0.4,7,9,3,4,0,13,0.777777777777778,3.25,8
