"feature","mean_abs_shap"
"run_per_hit",1.29201896449344
"innings_pitched",1.21042474245704
"whip_like",0.971117512776335
"H",0.785979338325301
"hits_allowed",0.371319482442373
"is_homeaway",0.347968004043731
"hr_allowed",0.346364951625906
"scored_firstyes",0.3449762130984
"AB",0.314495522729784
"middle_runs",0.282425467294201
"late_runs",0.214413546805412
"is_homehome",0.119953592651291
"power_score",0.0836077755646935
"(Intercept)",0.0722697004675865
"BB",0.0581441738916005
"strikeout_walk_ratio",0.0485175187215241
"extra_base_hits",0.0425653124379298
"SO",0.0383571857064251
"led_after_3yes",0.036526304232474
"so_pitched",0.034785297707357
"early_runs",0.0209602071146946
"HR",0.0177945771548871
"bb_allowed",0.0111452056162913
"double",0.00699912551256906
"triple",0.00618508175798019
