"metric","mean","sd"
"accuracy",0.92500716716234,0.0284107144663769
"sensitivity",0.94706572769953,0.0265844998451167
"specificity",0.903120243531202,0.0599392676959042
"precision",0.909097186721915,0.0511096607399165
"f1",0.926778678215252,0.0257472004224094
