"fold","test_rows","accuracy","sensitivity","specificity","precision","f1","true_positive","true_negative","false_positive","false_negative"
1,145,0.931034482758621,0.944444444444444,0.917808219178082,0.918918918918919,0.931506849315068,68,67,6,4
2,145,0.937931034482759,0.916666666666667,0.958904109589041,0.956521739130435,0.936170212765957,66,70,3,6
3,144,0.881944444444444,0.930555555555556,0.833333333333333,0.848101265822785,0.887417218543046,67,60,12,5
4,143,0.916083916083916,0.985915492957746,0.847222222222222,0.864197530864197,0.921052631578947,70,61,11,1
5,143,0.958041958041958,0.957746478873239,0.958333333333333,0.957746478873239,0.957746478873239,68,69,3,3
